Library,Month,Category,Audience,Events,Attendance,ActiveCardholders
Aberdeen,6,Special Event,Teen (ages 12-18),1,8,2385
Aberdeen,6,Special Event,Teen (ages 12-18),1,15,2385
Aberdeen,7,Book Sale,All Ages,19,X,7647
Aberdeen,8,Special Event,Adult (18 and older),1,X,3219
Aberdeen,8,"Special Event, Summer Library Program, DIY & Crafts",All Ages,1,150,7647
Aberdeen,8,Book Sale,All Ages,22,X,7647
Aberdeen,9,Special Event,Adult (18 and older),1,X,3219
Aberdeen,9,Book Sale,All Ages,21,X,7647
Aberdeen,10,Special Event,Adult (18 and older),1,X,3219
Aberdeen,10,Book Sale,All Ages,21,X,7647
Aberdeen,11,Special Event,Adult (18 and older),1,X,3219
Aberdeen,11,Book Sale,All Ages,19,X,7647
Aberdeen,11,"Early Learning & Storytime, STEAM",Preschool (ages 3-6),1,13,615
Aberdeen,11,"Early Learning & Storytime, STEAM",Preschool (ages 3-6),1,30,615
Aberdeen,11,Special Event,"Teen (ages 12-18), Adult (18 and older)",1,15,7028
Aberdeen,12,Special Event,Adult (18 and older),1,X,3219
Aberdeen,12,Book Sale,All Ages,22,X,7647
Aberdeen,12,Special Event,School Age (ages 7-11),1,100,1424
All Locations,1,DIY & Crafts,Adult (18 and older),1,X,77752
All Locations,1,Classes & Workshops,All Ages,1,X,122431
All Locations,2,DIY & Crafts,Adult (18 and older),1,X,77752
All Locations,2,Classes & Workshops,All Ages,1,X,122431
All Locations,3,Classes & Workshops,All Ages,1,X,122431
All Locations,4,Classes & Workshops,All Ages,1,X,122431
All Locations,5,Classes & Workshops,All Ages,1,X,122431
All Locations,6,Classes & Workshops,All Ages,1,X,122431
Centralia,12,Early Learning & Storytime,Babies and Toddlers (ages 0-2),1,1,4
Elma,1,Early Learning & Storytime,Preschool (ages 3-6),1,3,266
Elma,1,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,20,963
Elma,1,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,59,963
Elma,1,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,84,963
Elma,2,Early Learning & Storytime,Preschool (ages 3-6),1,7,266
Elma,2,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",2,60,963
Elma,3,Early Learning & Storytime,Preschool (ages 3-6),1,12,266
Elma,3,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,75,963
Elma,3,Books & Authors,Teen (ages 12-18),1,13,393
Elma,4,STEAM,All Ages,1,42,2488
Elma,4,STEAM,All Ages,1,58,2488
Elma,5,STEAM,All Ages,1,50,2488
Elma,5,Early Learning & Storytime,Preschool (ages 3-6),1,3,266
Elma,6,STEAM,All Ages,2,50,2488
Elma,6,Early Learning & Storytime,Preschool (ages 3-6),1,2,266
Elma,6,Activities & Games,Teen (ages 12-18),1,75,393
Elma,7,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,20,963
Elma,7,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,48,963
Elma,7,"STEAM, Activities & Games","Preschool (ages 3-6), School Age (ages 7-11), Teen (ages 12-18), Family",1,50,1356
Elma,8,"Special Event, Summer Library Program",All Ages,1,150,2488
Elma,8,Activities & Games,All Ages,1,45,2488
Elma,8,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,30,963
Elma,8,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,48,963
Elma,9,DIY & Crafts,"Preschool (ages 3-6), School Age (ages 7-11)",1,64,963
Elma,9,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,72,963
Elma,9,Activities & Games,Teen (ages 12-18),1,15,393
Elma,10,Early Learning & Storytime,Preschool (ages 3-6),1,30,266
Elma,10,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,30,963
Elma,10,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,75,963
Elma,11,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,72,963
Elma,12,STEAM,"Preschool (ages 3-6), School Age (ages 7-11)",1,60,963
Hoodsport,6,Featured,All Ages,10,X,702
Hoodsport,7,DIY & Crafts,Adult (18 and older),1,X,673
Hoodsport,7,Featured,All Ages,48,X,702
Hoodsport,8,Classes & Workshops,Adult (18 and older),3,1,673
Hoodsport,8,Classes & Workshops,Adult (18 and older),1,2,673
Hoodsport,8,Featured,Adult (18 and older),13,X,673
Hoodsport,8,DIY & Crafts,Adult (18 and older),1,X,673
