User Library,User Age,Number of Users
Aberdeen,2,4
Aberdeen,3,51
Aberdeen,4,100
Aberdeen,5,215
Aberdeen,6,249
Aberdeen,7,252
Aberdeen,8,304
Aberdeen,9,264
Aberdeen,10,301
Aberdeen,11,303
Aberdeen,12,349
Aberdeen,13,330
Aberdeen,14,351
Aberdeen,15,354
Aberdeen,16,345
Aberdeen,17,355
Aberdeen,18,301
Aberdeen,19,160
Aberdeen,20,44
Aberdeen,21,53
Aberdeen,22,43
Aberdeen,23,45
Aberdeen,24,32
Aberdeen,25,51
Aberdeen,26,48
Aberdeen,27,52
Aberdeen,28,47
Aberdeen,29,57
Aberdeen,30,69
Aberdeen,31,75
Aberdeen,32,58
Aberdeen,33,76
Aberdeen,34,71
Aberdeen,35,61
Aberdeen,36,59
Aberdeen,37,73
Aberdeen,38,63
Aberdeen,39,54
Aberdeen,40,43
Aberdeen,41,69
Aberdeen,42,66
Aberdeen,43,46
Aberdeen,44,51
Aberdeen,45,42
Aberdeen,46,53
Aberdeen,47,51
Aberdeen,48,38
Aberdeen,49,39
Aberdeen,50,57
Aberdeen,51,50
Aberdeen,52,51
Aberdeen,53,35
Aberdeen,54,43
Aberdeen,55,35
Aberdeen,56,41
Aberdeen,57,49
Aberdeen,58,51
Aberdeen,59,39
Aberdeen,60,49
Aberdeen,61,41
Aberdeen,62,46
Aberdeen,63,55
Aberdeen,64,45
Aberdeen,65,58
Aberdeen,66,66
Aberdeen,67,67
Aberdeen,68,56
Aberdeen,69,50
Aberdeen,70,44
Aberdeen,71,41
Aberdeen,72,50
Aberdeen,73,45
Aberdeen,74,42
Aberdeen,75,28
Aberdeen,76,26
Aberdeen,77,28
Aberdeen,78,25
Aberdeen,79,21
Aberdeen,80,18
Aberdeen,81,13
Aberdeen,82,10
Aberdeen,83,7
Aberdeen,84,13
Aberdeen,85,5
Aberdeen,86,5
Aberdeen,87,10
Aberdeen,88,7
Aberdeen,90,1
Aberdeen,91,1
Aberdeen,92,3
Aberdeen,93,2
Aberdeen,94,3
Aberdeen,97,1
Amanda Park,3,3
Amanda Park,4,5
Amanda Park,5,5
Amanda Park,6,7
Amanda Park,7,6
Amanda Park,8,9
Amanda Park,9,11
Amanda Park,10,5
Amanda Park,11,9
Amanda Park,12,13
Amanda Park,13,8
Amanda Park,14,6
Amanda Park,15,7
Amanda Park,16,10
Amanda Park,17,5
Amanda Park,18,2
Amanda Park,19,5
Amanda Park,20,4
Amanda Park,21,6
Amanda Park,22,6
Amanda Park,23,6
Amanda Park,24,4
Amanda Park,25,6
Amanda Park,26,5
Amanda Park,27,8
Amanda Park,28,5
Amanda Park,29,4
Amanda Park,30,6
Amanda Park,31,2
Amanda Park,32,7
Amanda Park,33,3
Amanda Park,34,4
Amanda Park,35,2
Amanda Park,36,4
Amanda Park,37,8
Amanda Park,38,2
Amanda Park,39,5
Amanda Park,40,5
Amanda Park,41,4
Amanda Park,42,3
Amanda Park,43,5
Amanda Park,44,1
Amanda Park,45,3
Amanda Park,47,2
Amanda Park,48,3
Amanda Park,49,2
Amanda Park,50,1
Amanda Park,51,2
Amanda Park,52,1
Amanda Park,53,2
Amanda Park,54,1
Amanda Park,55,1
Amanda Park,56,1
Amanda Park,57,1
Amanda Park,58,2
Amanda Park,59,6
Amanda Park,60,4
Amanda Park,61,4
Amanda Park,62,3
Amanda Park,63,5
Amanda Park,64,5
Amanda Park,65,3
Amanda Park,66,6
Amanda Park,67,8
Amanda Park,68,4
Amanda Park,69,3
Amanda Park,70,3
Amanda Park,71,4
Amanda Park,72,3
Amanda Park,73,4
